ticker,snapshot_date,rvol,volume_zscore,vol_price_divergence,vol_spike_days,vol_trend_slope_norm,log_return_1d,price_vs_sma20,rsi_14,bb_width,gap_open,range_expansion,buzz_density,extreme_language_ratio,moderate_hype_ratio,bearish_ratio,source_diversity,headline_similarity,catalyst_flag,hype_without_catalyst,news_volume_sync,silent_spike,pseudo_label,hype_score_raw
AA,2023-07-05,0.971,-0.115,-0.75,0,-0.027928,-0.01737,-2.69,32.84,12.467,-1.05,0.957,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.4091
AA,2023-07-14,1.596,2.254,-4.318,0,0.177754,-0.06096,0.728,57.62,12.099,-3.243,1.185,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.3688
AA,2023-07-25,1.56,1.538,-3.952,1,-0.005631,0.05365,3.771,56.73,11.601,2.785,1.329,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.4225
AA,2023-08-03,0.698,-0.971,-0.982,0,-0.009923,0.01666,-0.485,49.93,10.9,0.206,1.029,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.4282
AA,2023-08-14,1.273,0.799,0.554,0,0.07886,-0.00722,-6.487,32.29,13.323,-1.252,1.339,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.3415
AA,2023-08-23,1.101,0.439,0.996,0,-0.073973,0.00104,-10.402,11.34,30.929,0.0,0.477,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.3609
AA,2023-09-01,0.97,-0.057,-2.421,1,0.25762,0.03335,2.446,45.51,25.027,2.892,0.776,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.4038
AA,2023-09-13,0.647,-0.636,-0.949,1,-0.192375,0.01583,-1.529,49.02,11.105,0.071,0.775,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.3905
AA,2023-09-22,0.816,-0.336,-0.907,0,0.023634,0.01708,-2.478,37.42,12.545,1.435,0.657,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.3995
AA,2023-10-03,0.898,-0.334,-3.228,0,-0.062475,-0.04214,-2.381,46.3,15.852,-2.531,1.413,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.3744
AA,2023-10-12,0.826,-0.621,-3.24,0,-0.049321,-0.04151,-3.107,43.52,14.614,0.0,1.472,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.4264
AA,2023-10-23,1.105,0.286,-1.394,1,0.068854,-0.02531,-12.701,28.71,22.689,-3.54,1.022,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.4233
AA,2023-11-01,0.983,-0.046,-1.396,1,-0.024382,-0.02408,-2.196,40.7,26.264,0.117,1.229,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.402
AA,2023-11-10,0.488,-1.334,0.244,0,-0.039124,0.00244,-1.609,59.35,20.685,0.488,0.608,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.4338
AA,2023-11-21,0.575,-1.377,0.273,0,-0.11577,-0.00303,3.855,59.19,16.553,-0.718,0.505,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.414
AA,2023-12-01,1.305,1.036,-1.972,0,0.107675,0.03224,6.359,75.92,12.198,0.521,1.905,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,ORGANIC,0.1542
AA,2023-12-12,1.235,0.762,-2.295,0,0.023214,-0.03594,-7.562,30.3,13.498,-1.003,1.009,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.4111
AA,2023-12-21,0.817,-0.3,-3.653,2,-0.39605,0.04373,16.782,62.95,38.691,1.958,0.788,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.3712
AA,2024-01-03,1.141,0.252,-4.323,0,0.066758,-0.05619,5.371,69.81,52.097,-3.573,1.01,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.4264
AA,2024-01-12,0.568,-0.725,-2.184,0,-0.050383,-0.02791,-6.434,40.04,18.605,1.004,1.696,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.3985
AA,2024-01-24,1.387,0.932,0.54,1,-0.07019,0.00844,-3.622,41.49,33.174,2.508,0.776,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.3945
AA,2024-02-02,0.772,-0.583,0.098,0,0.00124,-0.00676,-0.932,46.95,22.166,-2.324,0.995,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.3796
AA,2024-02-13,1.122,0.335,-6.226,0,0.061982,-0.07632,-9.212,30.74,21.648,-3.584,1.407,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.4367
AA,2024-02-23,0.981,-0.083,-3.452,0,0.060928,-0.04534,-5.606,38.17,21.636,-0.468,1.249,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.3954
AA,2024-03-05,0.993,-0.024,-1.081,1,0.032152,-0.02096,-0.311,55.83,10.42,-1.565,0.673,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.3872
AA,2024-03-14,0.938,-0.237,-0.829,0,-0.0213,-0.01783,7.391,67.02,22.662,-0.589,0.872,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.3894
AA,2024-03-25,0.756,-1.049,-0.709,0,-0.213475,0.01454,8.402,74.29,24.721,0.541,0.618,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.416
AA,2024-04-04,1.326,1.172,-1.982,0,0.18211,-0.03364,12.511,75.41,28.272,0.323,1.407,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,ORGANIC,0.191
AA,2024-04-15,1.538,1.574,-2.354,0,0.192205,0.03818,7.264,70.75,28.657,5.114,0.728,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,ORGANIC,0.1924
AA,2024-04-24,0.777,-0.652,0.722,1,-0.16681,0.00055,0.957,51.0,11.387,-0.277,0.48,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.4129
AA,2024-05-03,0.783,-0.658,-1.527,0,-0.036304,0.02283,1.99,50.99,8.26,2.115,0.647,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.4642
AA,2024-05-14,0.821,-0.467,-0.0,0,0.099383,-0.00825,8.586,63.56,15.658,0.548,0.966,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.3878
AA,2024-05-23,0.828,-0.554,-1.782,0,0.001924,-0.02644,6.293,66.25,27.837,0.119,1.234,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.3846
AA,2024-06-04,1.191,0.58,-3.353,0,0.009424,-0.04651,2.132,58.48,25.08,-2.272,1.222,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.3756
AA,2024-06-13,0.898,-0.276,-2.049,0,0.022793,-0.02991,-8.278,38.86,16.072,-0.478,1.127,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.4185
AA,2024-06-25,0.663,-1.035,-0.865,0,-0.085417,-0.0154,-2.633,39.82,22.482,-1.134,0.769,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.4339
AA,2024-07-05,0.646,-1.113,0.505,0,-0.180792,0.00141,6.202,69.86,15.332,0.637,0.571,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.3966
AA,2024-07-16,1.32,0.884,-0.308,1,-0.102627,-0.01642,-2.704,44.08,13.977,-2.875,0.822,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.3748
AA,2024-07-25,1.038,0.092,0.825,1,0.024522,0.00213,-13.628,9.65,31.832,-0.365,0.842,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.3753
AA,2024-08-05,1.764,1.588,-1.731,2,0.121715,-0.03558,-18.402,13.34,39.565,-5.056,1.225,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.4195
AA,2024-08-14,0.655,-0.762,-0.928,1,-0.046828,-0.01595,-2.399,43.07,25.143,0.665,0.82,3.75,0.0,0.067,0.0,0.367,0.263,0,0,0,0,NEUTRAL,0.4223
