ticker,snapshot_date,rvol,volume_zscore,vol_price_divergence,vol_spike_days,vol_trend_slope_norm,log_return_1d,price_vs_sma20,rsi_14,bb_width,gap_open,range_expansion,buzz_density,extreme_language_ratio,moderate_hype_ratio,bearish_ratio,source_diversity,headline_similarity,catalyst_flag,hype_without_catalyst,news_volume_sync,silent_spike,pseudo_label,hype_score_raw
FCX,2024-07-05,0.771,-0.821,-0.947,0,-0.059406,0.01703,4.612,68.14,9.332,0.908,0.632,3.75,0.0,0.067,0.0,0.6,0.087,0,0,0,0,NEUTRAL,0.337
CHWY,2025-01-15,1.045,0.114,-2.701,0,-0.011918,0.03677,7.527,63.25,17.389,2.081,1.058,3.75,0.0,0.067,0.067,0.433,0.088,0,0,0,0,NEUTRAL,0.3669
MMM,2024-12-12,1.031,0.101,1.016,0,0.093853,-0.00015,-0.74,57.28,5.894,-0.092,0.802,3.75,0.0,0.0,0.033,0.433,0.063,0,0,0,0,NEUTRAL,0.4126
WFC,2023-09-13,1.107,0.499,0.426,0,0.053789,-0.00684,1.329,55.48,5.621,0.4,0.936,3.75,0.0,0.0,0.033,0.4,0.088,0,0,0,0,NEUTRAL,0.3699
SNOW,2024-12-03,0.54,-0.389,-1.501,3,-0.059967,0.02021,22.078,83.6,66.289,-0.824,0.714,3.75,0.0,0.0,0.033,0.5,0.095,0,0,0,0,NEUTRAL,0.4456
NOW,2023-10-23,0.891,-0.427,0.683,0,-0.03425,-0.00209,-2.122,50.06,5.744,-1.016,0.924,3.75,0.0,0.0,0.0,0.433,0.088,0,0,0,0,NEUTRAL,0.3642
LOW,2023-07-25,0.635,-1.135,0.188,0,-0.005916,0.00446,3.1,68.39,7.454,-0.223,0.957,3.75,0.0,0.0,0.1,0.7,0.065,0,0,0,0,NEUTRAL,0.4292
AFRM,2024-01-24,0.739,-0.909,-2.58,0,-0.015459,-0.03375,-8.601,41.26,32.084,2.507,1.283,3.75,0.0,0.033,0.0,0.3,0.121,0,0,0,0,NEUTRAL,0.4235
NEM,2024-10-23,1.438,1.583,-0.164,0,0.147394,-0.01615,5.117,79.33,13.756,-1.84,0.986,3.75,0.0,0.1,0.067,0.467,0.127,0,0,0,0,ORGANIC,0.1709
UNH,2023-09-22,1.547,1.391,0.558,1,0.223867,0.00985,4.356,77.0,6.877,-0.427,1.254,3.75,0.033,0.067,0.0,0.533,0.097,0,0,0,0,ORGANIC,0.2314
RBLX,2023-07-25,0.483,-1.642,0.205,0,-0.120709,0.00278,-5.294,43.7,18.916,0.051,0.392,3.75,0.067,0.0,0.067,0.567,0.075,0,0,0,0,NEUTRAL,0.3487
WMT,2024-06-25,1.354,1.095,-0.794,0,0.10488,-0.02171,1.07,55.24,6.465,-2.511,1.209,3.75,0.0,0.033,0.0,0.4,0.106,0,0,0,0,NEUTRAL,0.3801
ROKU,2023-09-22,0.814,-0.221,-2.481,0,0.05661,-0.0335,-11.955,23.2,24.361,1.913,1.361,3.75,0.033,0.067,0.0,0.467,0.124,0,0,0,0,NEUTRAL,0.411
WFC,2024-08-05,1.577,1.018,-0.563,0,0.277391,-0.02164,-11.148,19.38,15.848,-3.68,1.636,3.75,0.0,0.0,0.033,0.4,0.088,0,0,0,0,NEUTRAL,0.4216
GME,2023-07-05,0.374,-0.67,-3.68,0,-0.062102,-0.04139,-2.017,31.69,19.684,-1.084,1.176,3.75,0.033,0.033,0.033,0.433,0.079,0,0,0,0,NEUTRAL,0.4257
ABBV,2024-09-13,0.645,-1.663,0.547,0,-0.093662,0.00098,-0.842,42.31,3.373,-0.082,0.767,3.75,0.0,0.033,0.0,0.467,0.091,0,0,0,0,NEUTRAL,0.3675
